Acronym;Coordinator;Partners;Total Grant (€);Description;Year
FNS (Future Network Services);TNO (Netherlands);KPN (Netherlands), Odido (Netherlands), VodafoneZiggo (Netherlands), TU Delft (Netherlands), TU Eindhoven (Netherlands), NXP (Netherlands), ASML (Netherlands), SURF (Netherlands), SIDN (Netherlands), University of Twente (Netherlands), Photons (Netherlands);203,000,000;Dutch National Growth Fund program focusing on intelligent 6G components, networks, and applications.;2024
6G-RIC;Fraunhofer HHI (Germany);TU Berlin (Germany), HU Berlin (Germany), Fraunhofer FOKUS (Germany), IHP (Germany), Ferdinand-Braun-Institut (Germany), TU Braunschweig (Germany), University of Potsdam (Germany);70,000,000;German Research and Innovation Cluster developing scientific foundations for 6G radio access and optical transport.;2021
6G-Life;TU Dresden (Germany);TU Munich (Germany), Barkhausen Institut (Germany), Bosch (Germany), Rohde & Schwarz (Germany), Vodafone (Germany), Globalfoundries (Germany);70,000,000;German hub focusing on human-machine collaboration, tactile internet, and creating 6G startups.;2021
6G-ANNA;Nokia (Germany);Ericsson (Germany), Vodafone (Germany), Airbus (Germany), Bosch (Germany), Siemens (Germany), Deutsche Telekom (Germany), TU Dresden (Germany), TU Munich (Germany), Fraunhofer HHI (Germany), Fraunhofer IPT (Germany), RWTH Aachen (Germany), Carl Zeiss (Germany);38,400,000;German industrial lighthouse project for 6G access, network of networks, and automation.;2022
Open6GHub;DFKI (Germany);RPTU Kaiserslautern-Landau (Germany), TU Darmstadt (Germany), University of Bremen (Germany), University of Stuttgart (Germany), TU Berlin (Germany), IMMS (Germany), Fraunhofer AISEC (Germany), Fraunhofer SIT (Germany);68,000,000;German hub connecting AI with 6G network architectures and social sustainability.;2021
6G-TakeOff;Deutsche Telekom (Germany);Airbus (Germany), Fraunhofer IIS (Germany), Fraunhofer FOKUS (Germany), DLR (German Aerospace Center), Rohde & Schwarz (Germany), Ericsson (Germany), Vantage Towers (Germany);13,050,000;German project developing 3D network architecture integrating ground stations, flying platforms, and satellites.;2022
6G Flagship;University of Oulu (Finland);Nokia (Finland), VTT (Finland), Aalto University (Finland), Tampere University (Finland), InterDigital (UK/USA), Keysight Technologies (USA), MediaTek (Taiwan);251,000,000;Finland's broad ecosystem program for wireless connectivity, edge intelligence, and 6G services.;2018
RESTART;CNIT (Italy);TIM (Italy), Open Fiber (Italy), Leonardo (Italy), CNR (Italy), Politecnico di Milano (Italy), Politecnico di Torino (Italy), Università di Bologna (Italy), Università di Padova (Italy), Sant'Anna Pisa (Italy), Italtel (Italy), Prysmian (Italy);116,000,000;Italian National Recovery Plan (PNRR) program revitalizing the national telecommunications R&D sector.;2023
PEPR Future Networks;CEA (France);CNRS (France), IMT (France), Inria (France), Thales (France), Orange (France), Ericsson France (France), Nokia France (France);65,000,000;French national acceleration strategy funding upstream research in 5G/6G hardware and software.;2023
TITAN;University of Cambridge (UK);University of Bristol (UK), Durham University (UK), King's College London (UK), Royal Holloway (UK), University of Strathclyde (UK), University of Surrey (UK), University of Warwick (UK);5,000,000;UK EPSRC hub designing a seamless, open, and fully integrated 'network of networks'.;2023
HASC;University of Oxford (UK);Imperial College London (UK), UCL (UK), University of Bristol (UK), University of Leeds (UK), University of Manchester (UK), Queen's University Belfast (UK), University of Strathclyde (UK), University of Southampton (UK);3,700,000;UK EPSRC hub researching all-spectrum connectivity (low frequency to THz and optical).;2023
CHEDDAR;Imperial College London (UK);Cranfield University (UK), Durham University (UK), University of Glasgow (UK), University of Leeds (UK), University of York (UK);4,000,000;UK EPSRC hub focusing on cloud, distributed computing, and AI-driven telecoms.;2023
6G Lighthouse;Silicon Austria Labs (Austria);Infineon (Austria), AVL (Austria), AT&S (Austria), TDK Electronics (Austria), TU Graz (Austria), JKU Linz (Austria);3,200,000;Austrian project researching sub-THz hardware, integrated sensing (ISAC), and radar convergence.;2021
UNICO I+D 6G (2023 Call);Govt of Spain (Funding Body);UPV (Spain), UC3M (Spain), CTTC (Spain), i2CAT (Spain), UPM (Spain), Universidad de Málaga (Spain), Universidad de Granada (Spain), Vicomtech (Spain);62,000,000;Spanish national funding to build R&D infrastructure and attract talent for 6G and advanced 5G.;2023
NanoIC Pilot Line;Imec (Belgium);ASML (Netherlands), Chips JU Partners (EU), TU Delft (Netherlands), CEA-Leti (France), Fraunhofer (Germany);130,000,000;Flemish government-backed pilot line for advanced semiconductor packaging and sub-THz 6G chips.;2023
Myriarch;INESC-ID (Portugal);Instituto Superior Técnico (Portugal), University of Lisbon (Portugal), FCT (Portugal);Unknown;Portuguese national project developing frameworks for multi-architecture 6G internet.;2023
6G-FUTURES;King's College London & Univ. of Bristol (UK);Ericsson (UK), Nokia (UK), Samsung (UK), Nvidia (UK);Institutional/National;UK joint institute focusing on AI-native 6G networks, cyber-physical systems, and mobile robotics.;2022
