source,target,type,amount
EU Commission,SNS JU,Public Funding,€900M
6G-IA,SNS JU,Private Match,€900M
SNS JU,Eurescom,Admin Support,
NextGenEU,Spanish Gov,Funding Source,Recovery Funds
NextGenEU,RESTART,Funding Source,PNRR Funds
SNS JU,Call 1,Allocation,~€380M
SNS JU,Call 2,Allocation,~€130M
SNS JU,Call 3,Allocation,TBD
BMBF,6G-ANNA,Grant (70%),€38.4M
BMBF,Fraunhofer,Hub Funding,~€70M (Hubs)
France 2030,PEPR Networks,Funding Program,€65M
PEPR Networks,CEA-Leti,Co-Director,
PEPR Networks,CNRS,Co-Director,
PEPR Networks,IMT,Co-Director,
IMT,France 6G,Launches,
Orange,France 6G,Member,
Thales,France 6G,Member,
France 2030,Orange,Key Industry,
Business Finland,6G Flagship,Total Prg,€251M
Spanish Gov,IMDEA Networks,Grant,UNICO I+D
Spanish Gov,Telefónica,Grant/Aid,UNICO
Spanish Gov,i2CAT,Grant,UNICO
UK Gov,Univ Bristol,Strategy,£100M
RESTART,CNIT,Research,Partner
RESTART,TIM,Industry,Partner
FNS,TNO,Coordination,Lead
FNS,TU Delft,Research,Partner
TNO,Hexa-X-II,Partner,
TNO,6G-IA,Member,
KPN,6G-IA,Member,
KPN,FNS,Industry Partner,
TU Delft,6G-IA,Member,
NCBR,SNS JU,Partner Agency,
Polish Presidency,EU Commission,Policy (DNA),
NCBR,IS-Wireless,R&D Funding,Grant
Orange PL,NCBR,Collaboration,
Orange PL,Orange,Subsidiary,
NCBR,EuCNC 2025,Host Country,
SNS JU,EuCNC 2025,Organizer,
LMT,6G-IA,Member,
LMT,VANTAGE,Coordinator,
EDF,VANTAGE,Defence Funding,€10M
TalTech,XTRUST-6G,Partner,
SNS JU,XTRUST-6G,Funding,
Photonics LT,6G-IA,Tech Input,
BELSPO,IMEC,Funding,
IMEC,SNS JU,Strategic Partner,
IMEC,KU Leuven,Partner,
IMEC,Hexa-X-II,Contributor,
FCT,IT Portugal,Funding,
Altice Labs,IT Portugal,Innovation Partner,
Altice Labs,SNS JU,Partner,
IT Portugal,SNS JU,Project Partner,
U. Aveiro,IT Portugal,Affiliation,
WINGS ICT,6G-IA,Member,
WINGS ICT,Hexa-X-II,Partner,
WINGS ICT,SUSTAIN-6G,Partner,
ISI/Athena,SUNRISE-6G,Coordinator,
SNS JU,SUNRISE-6G,Funding,
SNS JU,6G-VERSUS,Funding,
Telekom Slovenije,IJS,Collaboration,
Call 3,SUSTAIN-6G,Funds,
Nokia,SUSTAIN-6G,Coordinator,
Orange,SUSTAIN-6G,Tech Manager,
Eurescom,SUSTAIN-6G,Innov Manager,
Deutsche Telekom,SUSTAIN-6G,Partner,
Telefónica,SUSTAIN-6G,Partner,
TIM,SUSTAIN-6G,Partner,
6G Flagship,SUSTAIN-6G,Partner,
IMEC,SUSTAIN-6G,Partner,
CEA-Leti,SUSTAIN-6G,Partner,
PoliTo,SUSTAIN-6G,Partner,
Siemens,SUSTAIN-6G,Partner,
John Deere,SUSTAIN-6G,Partner,
Call 2,6G-PATH,Funds,
Altice Labs,6G-PATH,Partner,
