Acronym;Coordinator;Partners;Total Grant (€);Description;Year
5G-STARDUST;German Aerospace Center;Hispasat (Spain), Orange, Martel, Thales alenia space france, Advanced wireless solutions and services (aw2s), Fraunhofer Society, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Software radio systems limited, CERCA Institution;5942337.12;Integrated terrestrial and satellite networks for ubiquitous connectivity.;2022
6G-BRICKS;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;Commissariat à l’énergie atomique et aux énergies alternatives, EURECOM, Space Hellas (Greece), eBOS Technologies (Cyprus), Intracom Telecom (Greece), Lenovo deutschland gmbh, Satways (Greece), National instruments dresden gmbh, Hellenic Telecommunications Organization (Greece), Ektacom, CERCA Institution, Brainstorm (Spain), KU Leuven, Ericsson (Ireland), Isrd sp z o.o., Iquadrat (Spain);8382364.31;6G experimentation with cell-free technologies and intelligent surfaces.;2022
6G-NTN;University of Bologna;Ericsson france, CERCA Institution, Greenerwave, Orange, Qualcomm france, Martel, Thales alenia space france, SES (Luxembourg), German Aerospace Center, Thales six gts france sas, Digital for planet-d4p, Ericsson (Sweden);4646494.17;Integration of non-terrestrial components into the 6G system.;2022
6G-SANDBOX;Keysight technologies belgium;"Lenovo deutschland gmbh, Queen's University Belfast, Universidad de Málaga, National Centre of Scientific Research ""Demokritos"", Infolysis p.c., Keysight technologies denmark aps, Isrd sp z o.o., Fogus innovations & services p.c., Boreal technology and investments sl, University of Oulu, Fraunhofer Society, Telefónica (Spain), Nokia (Spain), European Institute For Research and Strategic Studies In Telecommunications, Ictficial oy, Opennebula systems sl, Hellenic Telecommunications Organization (Greece)";8039821.26;European facility for 6G technology validation and experimentation.;2022
6G-SHINE;Aalborg University;Fraunhofer Society, Apple technology engineering bv & co kg, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, IMEC, InterDigital (United Kingdom), Robert Bosch (Germany), Cognitive innovations private company, Sony (Japan), Nokia (Finland), Keysight technologies finland oy, Miguel Hernandez University;4667179.0;Short-range wireless subnets for extreme vertical requirements.;2022
6G-XR;University of Oulu;VTT Technical Research Centre of Finland, Raytrix gmbh, Telefónica (Spain), Capgemini (France), Matsuko s.r.o, IMEC, Intel (Germany), InterDigital (United Kingdom), Nokia (Finland), Martel, CERCA Institution, Instituto de Telecomunicações, Vicomtech, Ericsson (Spain);9024623.0;Experimental infrastructure for next-generation extended reality services.;2022
6GTandem;Technikon (Austria);Ericsson (Sweden), Infineon Technologies (Germany), Huber + suhner ag, Lund University, Chalmers University of Technology, Infineon Technologies (Austria), KU Leuven, Linköping University;5047688.0;Ultra-high capacity coverage using coordinated sub-THz carriers.;2022
6Green;Consorzio Nazionale Interuniversitario per le Telecomunicazioni;Orange (France), Atos (Spain), Stam (Italy), Internet institute, communications solutions and consulting ltd, Telecom Italia (Italy), EURECOM, National Research Council, Smile, Institute of Communication and Computer Systems, Oculavis gmbh, Ubitech (Greece), Telefónica (Spain), Telenor (Norway), Universidad Politécnica de Madrid, Ericsson (Italy), Hewlett-Packard (Italy);5950069.13;Ecosystem for sustainable and energy-efficient communication infrastructures.;2022
ACROSS;Nova telecommunications & media single member sa;P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, NEC (Germany), K3y, Ubitech (Greece), Universidad Politécnica de Madrid, WINGS ICT Solutions (Greece), Telefónica (Spain), University of Patras, Ericsson (Ireland), Inlecom Systems (United Kingdom), CERCA Institution;5901405.0;Automated management platform for next-generation networks and services.;2022
ADROIT6G;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;Orange (France), University of Oulu, Cyens centre of excellence, Siemens (Germany), Cafa tech ou, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, eBOS Technologies (Cyprus), Mellanox Technologies (Israel), Nova telecommunications & media single member sa, EURECOM, Nextworks (Italy), Iquadrat (Spain);5999998.75;Cloud-native 6G architecture with AI-driven optimizations.;2022
BeGREEN;Accelleran;ARM (United Kingdom), Runel ngmt ltd, BT Group (United Kingdom), Leibniz Association, Universitat Politècnica de Catalunya, Parallel wireless israel ltd, CERCA Institution, Ericsson (Ireland), Telefónica (Spain), Gigasys solutions ltd, NEC (Germany);4827673.75;Radio networks focused on energy efficiency and traffic handling.;2022
CENTRIC;European Institute For Research and Strategic Studies In Telecommunications;University of Oulu, Nokia (Germany), Nokia networks france, Sequans communications, Nvidia (United States), Aalborg University, University of London, National Research Council, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Keysight technologies sales spain sl, InterDigital (United Kingdom), Synthara ag;4215999.0;User-centric wireless connectivity using AI techniques.;2022
CONFIDENTIAL6G;WINGS ICT Solutions (Greece);VTT Technical Research Centre of Finland, Telefónica (Spain), Eindhoven University of Technology, National University of Ireland, Privredno drustvo zentrix lab drustvo sa ogranicenom odgovornoscu pancevo, Netherlands Organisation for Applied Scientific Research, TU Wien, Graz University of Technology, Madrid Institute for Advanced Studies, Nokia networks france, Abstract machines, Ultraviolet consult doo, Nokia (Finland);4933032.84;Resilience and trust in heterogeneous global 6G infrastructures.;2022
DESIRE6G;University of Amsterdam;University of Oulu, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Ericsson (Sweden), Tages, Universitat Politècnica de Catalunya, Telefónica (Spain), NEC (Germany), Accelleran, Nubis idiotiki kefalaiouchiki etairia, Eötvös Loránd University, Universidad Politécnica de Madrid, Ericsson (Hungary), Mellanox Technologies (Israel), Sant'Anna School of Advanced Studies, Carlos III University of Madrid;5874905.0;Network architecture for industrial applications with ultra-low latency.;2022
DETERMINISTIC6G;Ericsson (Hungary);University of Stuttgart, ABB (Sweden), Ericsson (Finland), Iuvo srl, Sant'Anna School of Advanced Studies, Ericsson (Germany), Ericsson (Sweden), Montimage, Orange, B&r industrial automation gmbh, Silicon Austria Labs (Austria), Cumucore oy, KTH Royal Institute of Technology;5484377.0;Deterministic networks for the cyber-physical continuum and machines.;2022
ETHER;University of Luxembourg;"Linköping University, United Technologies Research Center, Avanti hylas 2 cyprus limited, Ubiwhere (Portugal), Martel, National Centre of Scientific Research ""Demokritos"", CERCA Institution, Aristotle University of Thessaloniki, Orange (Poland), Satelio iot services, sl, Net ai tech ltd, Nearby computing sl";4660693.25;Highly efficient integrated terrestrial and non-terrestrial networks.;2022
FIDAL;Nova telecommunications & media single member sa;Foundation for Research and Technology Hellas, P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, Oramavr sa, Airbus ds slc, Ektacom, Ubitech (Greece), Promozione per l innovazione fra industria e universita associazione, Boreal technology and investments sl, Iquadrat (Spain), Ericsson (Greece), Public Safety Communication Europe Forum, Athena Research and Innovation Center In Information Communication & Knowledge Technologies, Appart anonimi eteria neon technologion pliroforikis ke tilepikinonion, Telefónica (Spain), eBOS Technologies (Cyprus), Satways (Greece), Universidad de Málaga, University of Patras, Telenor (Norway);14974567.0;Evolution of 5G and 6G standards through massive research.;2022
FLEX-SCALE;University of Patras;Board of the Swiss Federal Institutes of Technology, LioniX (Netherlands), CERCA Institution, Ericsson (Italy), Telefónica (Spain), Picadvanced, sa, Carlos III University of Madrid, Opsys sensing technologies ltd, Polariton technologies ag, Fraunhofer Society, Polatis (United Kingdom), VPIphotonics (Germany), Hebrew University of Jerusalem, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Ubitech (Greece);4612555.5;Optical technologies for flexible network capacity scaling.;2022
HORSE;Consorzio Nazionale Interuniversitario per le Telecomunicazioni;University of Murcia, Holo-industrie 4.0 software gmbh, Universitat Politècnica de Catalunya, Zortenet idiotiki kefalaiouxiki etaireia, Martel, Suite5 data intelligence solutions limited, Ericsson (Italy), National and Kapodistrian University of Athens, Technische Universität Braunschweig, Efacec engenharia e sistemas sa, Telefónica (Spain), Eight bells ltd, Sphynx technology solutions ag;4693689.44;Smart and secure management in disaggregated 6G infrastructures.;2022
Hexa-X-II;Nokia (Finland);Sequans communications, Siemens (Germany), Sas idate, Ericsson (Finland), Orange, Atos (Spain), Qualcomm france, Nokia (Germany), Vodafone (Germany), Carlos III University of Madrid, Telenor (Norway), Ericsson (Sweden), Qamcom Research and Technology (Sweden), TU Dresden, Nextworks (Italy), Sony (Japan), Telefónica (Spain), University of Murcia, University of Oulu, Telecom Italia (Italy), Aalto University, Promozione per l innovazione fra industria e universita associazione, Chalmers University of Technology, Nokia networks france, Luleå University of Technology, Barkhausen Institute, Orange (Poland), Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau, Netherlands Organisation for Applied Scientific Research, Siemens (Austria), Ubiwhere (Portugal), CERCA Institution, VTT Technical Research Centre of Finland, WINGS ICT Solutions (Greece), Nokia (Finland), IMEC, Apple technology engineering bv & co kg, NXP (Germany), Optare solutions sa, Institute of Communication and Computer Systems;22808697.14;Flagship project for a holistic European 6G network platform.;2022
IMAGINE-B5G;Universitat Politècnica de València;Samsung (United Kingdom), Athens University of Economics and Business, Nokia (Spain), Nokia (Finland), Telefónica (Spain), Keysight technologies denmark aps, University of Oslo, Instituto de Telecomunicações, PT Inovação e Sistemas (Portugal), Telenor (Norway), Capgemini (France), Airbus ds slc, South East Technological University, Fundación Valenciaport, EURECOM, Ubiwhere (Portugal);11011735.63;Innovation in vertical sectors using beyond-5G networks.;2022
NANCY;University of Western Macedonia;Thales dis france sas, Virtual open systems, Ubitech (Greece), Metamind innovations ike, Sidroco holdings limited, Consortium for Research in Automatic and Telecommunications, Ericsson (Italy), Dreven srl, Italtel spa, INTRASOFT International (Luxembourg), Sant'Anna School of Advanced Studies, Centre for Research and Technology Hellas, Hellenic Telecommunications Organization (Greece), University of Murcia, Draxis Environmental Technologies (Greece), Tecnalia, Jožef Stefan Institute, NEC (Germany), Innocube i.k.e., University of the Basque Country, Bi2s-business and iot integrated solutions  ltd, Eight bells ltd, CERCA Institution;5999797.63;Secure and intelligent architecture for post-5G networks using AI.;2022
PREDICT-6G;Carlos III University of Madrid;Mtu australo alpha lab, Polytechnic University of Turin, Nextworks (Italy), Atos (Spain), Intel (Germany), Naudit high performance computing and networking sl, InterDigital (United Kingdom), National Research Council, Software imagination & vision srl, University of Padua, Universitat Politècnica de Catalunya, Telefónica (Spain), Gestamp servicios sa, Nokia (Finland), Cognitive innovations private company, Ericsson (Spain);5681350.0;Enhancing 5G capabilities for demanding vertical use cases.;2022
PRIVATEER;Space Hellas (Greece);"Institute of Communication and Computer Systems, Norwegian Defence Research Establishment, National Centre of Scientific Research ""Demokritos"", Ubitech (Greece), Infili technologies societe anonyme, Universidad Complutense de Madrid, Iquadrat (Spain), Polytechnic Institute of Porto, Institute for Systems Engineering and Computers, European Road Transport Telematics Implementation Co-Ordination, Telefónica (Spain), Starion italia spa, Starion espana s.l.";4575661.38;Privacy as a key pillar in 6G multi-actor environments.;2022
RIGOUROUS;University of Murcia;Orange (France), Lenovo deutschland gmbh, Ictficial oy, Instituto de Telecomunicações, WINGS ICT Solutions (Greece), OneSource (Portugal), Starion luxembourg sa, eBOS Technologies (Cyprus), University of Oulu, University of the West of Scotland;4527400.0;Holistic framework to mitigate cybersecurity risks in 6G.;2022
SEASON;Consorzio Nazionale Interuniversitario per le Telecomunicazioni;ADVA Optical Networking (Germany), Telecom Italia (Italy), Universitat Politècnica de Catalunya, Telefónica (Spain), Accelleran, West aquila srl, WINGS ICT Solutions (Greece), Fraunhofer Society, Sant'Anna School of Advanced Studies, Infinera unipessoal lda, Coriant r&d gmbh, Fibercop s.p.a., Ericsson (Italy), Carlos III University of Madrid, CERCA Institution;5955098.0;Sustainable transport infrastructure for post-5G services.;2022
SNS ICE;6g smart networks and services industry association;"Trust-it services srl, Netherlands Organisation for Applied Scientific Research, Nokia (Germany), Sabiedriba ar ierobezotu atbildibu ""elekroniskie sakari"", European Institute For Research and Strategic Studies In Telecommunications, Telecom Italia (Italy), CERCA Institution, Commpla srl";1941225.0;Collaboration to position SNS JU activities globally.;2022
SNS OPS;European Institute For Research and Strategic Studies In Telecommunications;South East Technological University, 6g smart networks and services industry association, Commpla srl, Ericsson (Sweden), Orange, University of Surrey, Nokia (Germany), Nokia networks france, Thales six gts france sas, Sas idate, Trust-it services srl, Telenor (Norway), Instituto de Telecomunicações, Mtu australo alpha lab, Martel;2908473.0;Operational support and activities for the European SNS initiative.;2022
SUPERIOT;University of Oulu;Lightbee sl, Imec the Netherlands, University of Bristol, Vivid components germany ug, Universidade Nova de Lisboa, KU Leuven, Institute for Systems Engineering and Computers, VTT Technical Research Centre of Finland, Wavecom solucoes radio sa, Mpicosys - embedded pico systems spzoo;4757739.5;Sustainable IoT system based on optical and radio communications.;2022
TARGET-X;Fraunhofer Society;Mitsubishi electric europe bv, Marposs monitoring solutions gmbh, Ericsson (Sweden), Fundingbox accelerator sp zoo, Qualcomm (United States), CERCA Institution, Fundingbox communities sl, 5g communications for future industry verticals sl, Ericsson (Germany), Neutroon technologies sl, Applus+ IDIADA (Spain), Construction robotics gmbh, Marposs societa per azioni, RWTH Aachen University;13162555.379999999;6G wireless capabilities applied to global industrial sectors.;2022
TERA6G;Carlos III University of Madrid;Universidad Politécnica de Madrid, Cumucore oy, University of Piraeus, Fraunhofer Society, LioniX (Netherlands), University of Oulu, Phix bv, Telefónica (Spain), Intracom Telecom (Greece), Leapwave technologies s.l., Institute of Communication and Computer Systems;5892962.55;Photonic transceivers for Terabit capacity and massive MIMO.;2022
TERRAMETA;Institute for Systems Engineering and Computers;Technische Universität Braunschweig, Intracom Telecom (Greece), Universidade Nova de Lisboa, DELL (Ireland), National and Kapodistrian University of Athens, University of Hertfordshire, BT Group (United Kingdom), Instituto de Telecomunicações, University of Oulu, Acst gmbh, Commissariat à l’énergie atomique et aux énergies alternatives, University of Luxembourg;5883264.5;Technologies for massive applications like Internet of Senses.;2022
TIMES;Consorzio Nazionale Interuniversitario per le Telecomunicazioni;Bi-rex- big data innovation research excellence, University of Stuttgart, Technische Universität Braunschweig, Aetna group spa, Centre national de la recherche scientifique, Telenor (Norway), Fraunhofer Society, Anteral sl, Université de Lille, Huawei Technologies (Germany);5969258.0;High-performance wireless networks similar to wired networks.;2022
TrialsNet;Ericsson (Italy);Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Prosegur global sis sl, IMEC, Gheorghe Asachi Technical University of Iași, Ericsson (Spain), Telefónica (Spain), Italian Institute of Technology, Fondazione torino musei, National Research Council, Centre for Research and Technology Hellas, Dimos Athinaion Epicheirisi Michanografisis (Greece), WINGS ICT Solutions (Greece), Telecom Italia (Italy), Yerba buena vr europe sl, Comune di torino, Promozione per l innovazione fra industria e universita associazione, Fondazione piemonte innova, Crossmedia europe, Carlos III University of Madrid, Orange (France), Sant'Anna School of Advanced Studies, Nextworks (Italy), Real wireless limited, Athens International Airport, C&t crossmedia srl;14647245.0;Large-scale trials of 6G applications in urban environments.;2022
VERGE;Universitat Politècnica de Catalunya;University of London, Ericsson (Sweden), Hiro microdatacenters b.v., Arçelik (Turkey), Ansaldo (Italy), University of Siena, CERCA Institution, University of Oulu, Barcelona Supercomputing Center, Holo-industrie 4.0 software gmbh, Samsung (United Kingdom), Intel (Germany), Turkcell teknoloji arastirma ve gelistirme anonim sirketi, Nearby computing sl;4898437.5;Edge computing evolution through distributed AI and security.;2022
6G-CLOUD;VTT Technical Research Centre of Finland;"National Centre of Scientific Research ""Demokritos"", Thales six gts france sas, Bull, Atos (Spain), University of Murcia, Four dot infinity information and telecommunications solutions private company, Warsaw University of Technology, Orange (Poland), BubbleRAN, Lenovo deutschland gmbh, University of Bern, Ubiwhere (Portugal)";3999938.38;Network programmability and efficient cloud resource usage.;2023
6G-DISAC;Commissariat à l’énergie atomique et aux énergies alternatives;Telecom Italia (Italy), NEC (Japan), Orange, NEC (Germany), Robert Bosch (Germany), Radchat ab, Chalmers University of Technology, Nokia networks france, National and Kapodistrian University of Athens, Bordeaux INP;3999728.25;Integrated sensing and communication with distributed intelligent infrastructure.;2023
6G-EWOC;Universitat Politècnica de Catalunya;Magna electronics sweden ab, Bifrost communications aps, Hellenic Telecommunications Organization (Greece), Nokia networks france, Austrian Institute of Technology, Ligentec sa, Beamagine s.l, Mellanox Technologies (Israel), Iii-v lab, CERCA Institution;3999338.84;Critical technologies to expand 6G reach in high mobility.;2023
6G-GOALS;Commissariat à l’énergie atomique et aux énergies alternatives;Telecom Italia (Italy), Aalborg University, EURECOM, Toshiba (United Kingdom), NEC (Germany), Hewlett-Packard (Italy), Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Singapore University of Technology and Design, NEC (Japan), Hewlett-packard france, Imperial College London;3174154.88;Wireless evolution towards reliable and efficient data exchange.;2023
6G-INTENSE;Athena Research and Innovation Center In Information Communication & Knowledge Technologies;Iquadrat (Spain), University of Oulu, eBOS Technologies (Cyprus), Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Intracom Telecom (Greece), Realworld eastern europe srl, Orange (France), EURECOM, Hellenic Telecommunications Organization (Greece), Ericsson (Ireland);3999819.75;High-performance, low-energy infrastructure for 6G services.;2023
6G-MUSICAL;Instituto de Telecomunicações;Ericsson (United Kingdom), University of Oulu, University of London, Menhir photonics ag, Fraunhofer Society, Waseda University, Orange (France), eBOS Technologies (Cyprus), IMEC;2858120.0;Fusion of radio sensing and communication for 6G paradigms.;2023
6G-PATH;Hellenic Telecommunications Organization (Greece);Terraview gmbh, Karlstad University, Ictficial oy, Odin solutions sociedad limitada, PT Inovação e Sistemas (Portugal), Orange (France), Spanish National Research Council, eBOS Technologies (Cyprus), University of the West of Scotland, Telefónica (Spain), Charité - Universitätsmedizin Berlin, F6S Network (United Kingdom), Hewlett-Packard (Italy), OneSource (Portugal), Universidad de Málaga, Instituto de Telecomunicações, Airbus ds slc, Fraunhofer Society, Mcs datalabs, University of Bradford, Fundatia orange, Sistimata tilepikinonion antonis georgiou monoprosopi eteria periorismenis efthinis, RedZinc (Ireland), Appart anonimi eteria neon technologion pliroforikis ke tilepikinonion, CloudSigma (Switzerland);12571341.129999999;Transition towards 6G following 5G deployment maturity.;2023
6G-REFERENCE;CERCA Institution;Ericsson (Sweden), IMEC, Acp advanced circuit pursuit ag, Board of the Swiss Federal Institutes of Technology, University of Twente, University of Birmingham, Commissariat à l’énergie atomique et aux énergies alternatives, Anteral sl, Mtu australo alpha lab;4653960.3;Sustainable solution for high urban traffic demand in 6G.;2023
6G-SENSES;Leibniz Association;Accelleran, Institute of Accelerating Systems and Applications, Universidad de Cantabria, Technische Universität Braunschweig, Sapienza University of Rome, Nottingham Trent University, BubbleRAN, Barkhausen Institute, Intel (Germany), Hellenic Telecommunications Organization (Greece);3627081.0;Integration of massive MIMO and joint sensing in 6G.;2023
6G-TWIN;Luxembourg Institute of Science and Technology;R2m solution, TU Dresden, Accelleran, Ericsson (Sweden), IMEC, Proximus luxembourg sa, Polytechnic University of Bari, Viavi solutions ireland limited, Ubiwhere (Portugal), Université Bourgogne Europe;3999647.5;AI-native architecture with network digital twins.;2023
6G-XCEL;Trinity College Dublin;University of Patras, Deutsche Telekom (Germany), Fraunhofer Society, Tzoyniper diktya ellas anonymi etairia, IMEC, Aalborg University, Diinekes s.i. monoprosopi idiotiki kefalaiouchiki etaireia, IBM (Ireland), Sorbonne Université;2994474.25;Adoption of AI for network design and operation.;2023
6G4Society;Martel innovate bv;Public Safety Communication Europe Forum, Nova telecommunications & media single member sa, Digital for planet-d4p, eBOS Technologies (Cyprus), Cyberethics lab srls;999625.0;Balancing technology performance with social values and sustainability.;2023
ECO-eNET;Chalmers University of Technology;Hellenic Telecommunications Organization (Greece), Board of the Swiss Federal Institutes of Technology, Tallinn University of Technology, Trinity College Dublin, Mbryonics limited, Accelleran, University of Bristol, Polariton technologies ag, Institute of Accelerating Systems and Applications, ADVA Optical Networking (Germany);3592544.7800000003;Confluent edge network integrating optical and radio transport.;2023
ELASTIC;Technical University of Crete;Lund University, Thales six gts france sas, Ericsson (Finland), IMEC, Privredno drustvo zentrix lab drustvo sa ogranicenom odgovornoscu pancevo, Abstract machines, Ericsson (Sweden), Thales dis france sas, Ultraviolet consult doo, Aalto University, Polytechnic University of Turin, Telefónica (Spain);3999990.51;Optimizing 6G networks for high speed and low latency.;2023
ENVELOPE;Institute of Communication and Computer Systems;"eBOS Technologies (Cyprus), Leibniz University Hannover, Athena Research and Innovation Center In Information Communication & Knowledge Technologies, Hewlett-Packard (Italy), Fogus innovations & services p.c., Iquadrat (Spain), Sas isfm ""intelligent systems for mobility"", Lenovo deutschland gmbh, LINKS Foundation, Nextworks (Italy), Teoresi s.p.a., Hellenic Telecommunications Organization (Greece), KPN (Netherlands), European Road Transport Telematics Implementation Co-Ordination, Telecom Italia (Italy), Vicomtech, Commsignia korlatolt felelossegu tarsasag, Siemens (Netherlands), National Centre of Scientific Research ""Demokritos"", Incites consulting sa, Comune di torino, Netherlands Organisation for Applied Scientific Research";13495918.75;Enhanced capabilities for connected autonomous mobility services.;2023
EXIGENCE;F6S Network (United Kingdom);Netherlands Organisation for Applied Scientific Research, Huawei Technologies (Germany), Atos (Spain), Internet institute, communications solutions and consulting ltd, Instituto de Telecomunicações, Telefónica (Spain), National and Kapodistrian University of Athens, Athens University of Economics and Business, Detecon international gmbh;3984130.75;Reducing ICT energy consumption and carbon footprint.;2023
FirstTo6G;Incirt gmbh;Sivers IMA (Sweden), Yeditepe University, Argo imiagogoi anonymi etaireia, RWTH Aachen University, Sciprom (Switzerland);4999894.0;Developing 6G transceivers for extreme technical requirements.;2023
INSTINCT;Barkhausen Institute;Fraunhofer Society, Institut national de recherche en sciences et technologies du numérique, Institut national des sciences appliquées de Lyon, University of Piraeus, Robert Bosch (Germany), Telefónica (Spain), Centre national de la recherche scientifique, University of Oulu, NEC (Germany), Greenerwave, Aalto University, CERCA Institution, CentraleSupélec, NEC (Japan);3999552.7600000002;Immersive connectivity using sensing-assisted technologies.;2023
NATWORK;Centre for Research and Technology Hellas;University of Zurich, Zürcher Fachhochschule, Eötvös Loránd University, Consorzio Nazionale Interuniversitario per le Telecomunicazioni, University of Essex, Tages, Centro Tecnolóxico de Telecomunicacións de Galicia, University of Applied Sciences and Arts Western Switzerland, IMEC, P-net anadyomena diktya neas genias & efarmoges idiotiki kefalaiouchiki etaireia, NEC (Germany), Montimage, Isrd sp z o.o., Nova telecommunications & media single member sa;3628007.5;Bio-inspired 6G cybersecurity framework using AI.;2023
ORIGAMI;Telefónica (Spain);Emnify gmbh, Net ai tech ltd, Telecom Italia (Italy), Delft University of Technology, Isrd sp z o.o., Carlos III University of Madrid, Madrid Institute for Advanced Studies, University of Würzburg, Fibercop s.p.a., Fogus innovations & services p.c., CERCA Institution, NEC (Germany), Cumucore oy;3686979.25;Architectural innovations for next-generation mobile networks.;2023
Opti-6G;European Institute For Research and Strategic Studies In Telecommunications;Oledcomm, Brunel University London, Université de Versailles Saint-Quentin-en-Yvelines, Runel ngmt ltd;2062937.5;Cell-free 5G network using infrared light communications.;2023
PROTEUS-6G;University of Patras;Consorzio Nazionale Interuniversitario per le Telecomunicazioni, Coriant r&d gmbh, Opsys sensing technologies ltd, Fraunhofer Society, LioniX (Netherlands), Polariton technologies ag, Board of the Swiss Federal Institutes of Technology, Ubitech (Greece), Telefónica (Spain), Picadvanced, sa, Hebrew University of Jerusalem, Carlos III University of Madrid, CERCA Institution;3967251.25;Optical-packet x-haul infrastructure with intelligent software management.;2023
